filed_date,fiscal_year,form,fiscal_period,company,ticker,category,Assets,CommonStockSharesOutstanding,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueRemainingPerformanceObligation,StockholdersEquity,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,ContractWithCustomerLiabilityChangeInTimeframePerformanceObligationSatisfiedRevenueRecognized,OperatingLeasesIncomeStatementMinimumLeaseRevenue,Revenues
2026-02-26,2025,10-K,FY,Instacart,CART,gig,4115000000.0,260964000.0,-439000000.0,836000000.0,-1622000000.0,-2142000000.0,3042000000.0,,-64000000.0,,,,
2015-05-22,2015,10-Q,Q1,Etsy,ETSY,gig,249135000.0,44180939.0,213000.0,101835000.0,-463000.0,419000.0,,,67088000.0,,,,40536000.0
2015-08-06,2015,10-Q,Q2,Etsy,ETSY,gig,249135000.0,44180939.0,-195000.0,101835000.0,-3614000.0,-3375000.0,,,67088000.0,,,,83045000.0
2015-11-05,2015,10-Q,Q3,Etsy,ETSY,gig,249135000.0,44180939.0,1880000.0,101835000.0,-9885000.0,-6427000.0,,,67088000.0,,,,130679000.0
2016-03-01,2015,10-K,FY,Etsy,ETSY,gig,246203000.0,33082948.0,854000.0,98903000.0,-796000.0,733000.0,,,-652000.0,1800000.0,,,125022000.0
2016-05-05,2016,10-Q,Q1,Etsy,ETSY,gig,553061000.0,112563354.0,10725000.0,222563000.0,-36586000.0,-4842000.0,,,330498000.0,,,,58543000.0
2016-08-04,2016,10-Q,Q2,Etsy,ETSY,gig,553061000.0,112563354.0,15634000.0,222563000.0,-42940000.0,-8633000.0,,,330498000.0,,,,119908000.0
2016-11-03,2016,10-Q,Q3,Etsy,ETSY,gig,553061000.0,112563354.0,19729000.0,222563000.0,-49831000.0,-10300000.0,,,330498000.0,,,,185604000.0
2017-02-28,2016,10-K,FY,Etsy,ETSY,gig,553061000.0,44180393.0,4983000.0,222563000.0,-15243000.0,-6251000.0,,,4003000.0,1800000.0,,,195591000.0
2017-05-02,2017,10-Q,Q1,Etsy,ETSY,gig,581193000.0,115973039.0,13614000.0,236436000.0,1192000.0,6783000.0,,,344757000.0,,,,81847000.0
2017-08-07,2017,10-Q,Q2,Etsy,ETSY,gig,581193000.0,115973039.0,17875000.0,236436000.0,-6119000.0,11452000.0,,,344757000.0,,,,167196000.0
2017-11-08,2017,10-Q,Q3,Etsy,ETSY,gig,581193000.0,115973039.0,22238000.0,236436000.0,-8518000.0,14125000.0,,,344757000.0,,,,254758000.0
2018-03-01,2017,10-K,FY,Etsy,ETSY,gig,581193000.0,115973039.0,26069000.0,236436000.0,-54063000.0,-1884000.0,,,67088000.0,,,,273499000.0
2018-05-09,2018,10-Q,Q1,Etsy,ETSY,gig,605583000.0,121769238.0,-1052000.0,208689000.0,-421000.0,-2101000.0,,,396894000.0,,,,96891000.0
2018-08-07,2018,10-Q,Q2,Etsy,ETSY,gig,605583000.0,121769238.0,-10489000.0,208689000.0,11248000.0,-13819000.0,198583000.0,,396894000.0,,,,
2018-11-07,2018,10-Q,Q3,Etsy,ETSY,gig,605583000.0,121769238.0,-23051000.0,208689000.0,37050000.0,-6394000.0,304963000.0,,396894000.0,,,,
2019-02-28,2018,10-K,FY,Etsy,ETSY,gig,605583000.0,121769238.0,27025000.0,208689000.0,-29901000.0,17577000.0,364967000.0,,330498000.0,,,,
2019-05-09,2019,10-Q,Q1,Etsy,ETSY,gig,901851000.0,119771702.0,14000.0,500953000.0,12967000.0,13798000.0,120912000.0,,396894000.0,,,,
2019-08-02,2019,10-Q,Q2,Etsy,ETSY,gig,901851000.0,119771702.0,1260000.0,500953000.0,12967000.0,26560000.0,253299000.0,,396894000.0,,,,
