filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,EarningsPerShareDiluted,Liabilities,NetIncomeLoss,OperatingExpenses,RevenueFromContractWithCustomerExcludingAssessedTax,WeightedAverageNumberOfSharesOutstandingBasic,ticker,Revenues
2025-10-29,2025,10-Q,Q3,2417782000.0,108540000.0,1.34,3176648000.0,173375000.0,1174231000.0,1956170000.0,116372000.0,ETSY,
2026-02-19,2025,10-K,FY,2417782000.0,108540000.0,2.24,3176648000.0,307568000.0,1639861000.0,2748377000.0,122503000.0,ETSY,
2016-02-17,2015,20-F,FY,95193000.0,39310446.0,,,-4837000.0,41008000.0,,,SHOP,
2025-02-11,2024,10-K,FY,11299000000.0,,-2.73,,-3460000000.0,3576000000.0,,1266268155.0,SHOP,5600000000.0
2025-05-08,2025,10-Q,Q1,13924000000.0,,-0.21,,-273000000.0,871000000.0,,1287376719.0,SHOP,1861000000.0
2025-08-06,2025,10-Q,Q2,13924000000.0,,-0.08,,-102000000.0,1675000000.0,,1288138451.0,SHOP,3906000000.0
2025-11-04,2025,10-Q,Q3,13924000000.0,,0.56,,726000000.0,2510000000.0,,1288960063.0,SHOP,6068000000.0
2026-02-11,2025,10-K,FY,13924000000.0,,0.1,,132000000.0,4933000000.0,,1281554559.0,SHOP,7060000000.0
2021-12-09,2021,10-Q,Q3,282096000.0,35627503.0,-1.54,268677000.0,-50585000.0,213492000.0,,32746492.0,UDMY,
2022-03-25,2021,10-K,FY,282096000.0,35627503.0,-2.57,268677000.0,-69703000.0,200848000.0,,27096379.0,UDMY,
2022-05-04,2022,10-Q,Q1,739851000.0,139164693.0,-0.5,350151000.0,-17989000.0,83065000.0,,36178304.0,UDMY,
2022-08-03,2022,10-Q,Q2,739851000.0,139164693.0,-0.8,350151000.0,-29380000.0,164139000.0,,36726992.0,UDMY,
2022-11-02,2022,10-Q,Q3,739851000.0,139164693.0,-1.04,350151000.0,-38642000.0,245266000.0,,37068570.0,UDMY,
2023-02-27,2022,10-K,FY,739851000.0,139164693.0,-2.33,350151000.0,-77620000.0,294026000.0,,33384438.0,UDMY,
2023-05-03,2023,10-Q,Q1,737568000.0,145013786.0,-0.18,398258000.0,-25649000.0,111101000.0,,139405294.0,UDMY,
2023-08-03,2023,10-Q,Q2,737568000.0,145013786.0,-0.39,398258000.0,-55029000.0,226928000.0,,139691508.0,UDMY,
2023-11-02,2023,10-Q,Q3,737568000.0,145013786.0,-0.73,398258000.0,-101722000.0,359531000.0,,140116156.0,UDMY,
