Uber,Lyft,DoorDash,Instacart,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Nu skin,USANA,Etsy,Shopify,Udemy,year,month,date
78.0,19.0,4.0,2.0,2.0,1.0,0.0,6.0,5.0,2.0,1.0,1.0,46.800000000000004,6.24,2.08,2017,4,2017-04-30
78.0,19.0,4.0,2.0,2.0,1.0,0.0,6.0,5.0,2.0,1.0,1.0,45.760000000000005,6.24,2.08,2017,5,2017-05-31
98.0,24.0,4.0,3.0,2.0,1.0,0.0,7.0,6.0,2.0,1.0,1.0,44.829787234042556,7.297872340425532,2.0851063829787235,2017,6,2017-06-30
87.0,24.0,4.0,3.0,2.0,1.0,0.0,6.0,6.0,2.0,1.0,1.0,46.12048192771084,7.337349397590361,2.0963855421686746,2017,7,2017-07-31
77.0,23.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,2.0,1.0,1.0,45.78378378378378,7.283783783783784,2.081081081081081,2017,8,2017-08-31
71.0,21.0,4.0,4.0,2.0,1.0,0.0,6.0,4.0,2.0,1.0,1.0,42.80882352941177,7.308823529411765,2.088235294117647,2017,9,2017-09-30
69.0,21.0,4.0,4.0,2.0,1.0,0.0,6.0,4.0,2.0,1.0,1.0,44.28358208955224,8.238805970149254,2.0597014925373136,2017,10,2017-10-31
73.0,20.0,5.0,4.0,2.0,1.0,0.0,6.0,4.0,2.0,1.0,0.0,56.31428571428572,8.342857142857143,3.128571428571429,2017,11,2017-11-30
69.0,21.0,5.0,4.0,2.0,1.0,0.0,7.0,3.0,2.0,0.0,0.0,55.61194029850747,6.179104477611941,3.0895522388059704,2017,12,2017-12-31
69.0,21.0,6.0,6.0,2.0,1.0,0.0,7.0,5.0,2.0,0.0,1.0,47.04545454545455,8.363636363636363,3.1363636363636362,2018,1,2018-01-31
75.0,21.0,6.0,5.0,2.0,2.0,0.0,6.0,5.0,2.0,0.0,1.0,42.708333333333336,8.333333333333334,3.125,2018,2,2018-02-28
79.0,21.0,7.0,5.0,2.0,2.0,0.0,6.0,6.0,2.0,0.0,1.0,43.6578947368421,8.31578947368421,3.1184210526315788,2018,3,2018-03-31
72.0,21.0,8.0,5.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,1.0,44.22857142857143,8.228571428571428,3.0857142857142854,2018,4,2018-04-30
73.0,21.0,9.0,5.0,2.0,1.0,0.0,6.0,6.0,2.0,1.0,1.0,44.84285714285715,8.342857142857143,3.128571428571429,2018,5,2018-05-31
82.0,23.0,10.0,5.0,2.0,1.0,0.0,7.0,6.0,2.0,1.0,1.0,41.51898734177215,8.30379746835443,3.113924050632911,2018,6,2018-06-30
84.0,24.0,11.0,5.0,2.0,1.0,0.0,7.0,6.0,2.0,1.0,1.0,45.15,8.4,3.1500000000000004,2018,7,2018-07-31
79.0,23.0,13.0,5.0,2.0,1.0,0.0,7.0,6.0,2.0,0.0,1.0,44.69736842105263,8.31578947368421,3.1184210526315788,2018,8,2018-08-31
75.0,20.0,13.0,6.0,2.0,1.0,0.0,6.0,5.0,2.0,0.0,1.0,44.79166666666667,8.333333333333334,3.125,2018,9,2018-09-30
75.0,22.0,13.0,6.0,2.0,2.0,0.0,6.0,4.0,2.0,0.0,0.0,44.79166666666667,8.333333333333334,3.125,2018,10,2018-10-31
70.0,21.0,15.0,6.0,2.0,1.0,0.0,6.0,4.0,2.0,0.0,0.0,56.61764705882352,8.235294117647058,3.0882352941176467,2018,11,2018-11-30
73.0,21.0,17.0,6.0,2.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,59.63380281690141,7.197183098591549,3.084507042253521,2018,12,2018-12-31
